,client_id,date_order,sales_net
251,1773169,2018-02-28,10420.704435151703
252,1773169,2018-03-01,40931.23915230793
253,1773169,2018-03-02,31293.275883410948
254,1773169,2018-03-05,35346.984520005535
255,1773169,2018-03-06,43826.48615560564
256,1773169,2018-03-07,70819.78300681355
257,1773169,2018-03-08,103947.17073619609
258,1773169,2018-03-09,35195.36994593408
259,1773169,2018-03-12,72970.05954399657
260,1773169,2018-03-13,34332.99375662475
261,1773169,2018-03-14,35066.26126841252
262,1773169,2018-03-15,38303.11995136496
263,1773169,2018-03-16,26236.135358666666
264,1773169,2018-03-19,29356.444730384737
265,1773169,2018-03-20,36396.42021811373
266,1773169,2018-03-21,47442.36428307844
267,1773169,2018-03-22,38779.00156960141
268,1773169,2018-03-23,12376.450396436941
269,1773169,2018-03-26,65545.17552059205
270,1773169,2018-03-27,169830.62609339994
271,1773169,2018-03-28,45405.52823554915
272,1773169,2018-03-29,49664.15165465894
273,1773169,2018-03-30,25224.724178526983
274,1773169,2018-04-02,72975.68271401027
275,1773169,2018-04-03,26479.352603614963
276,1773169,2018-04-04,10287.997839287336
277,1773169,2018-04-06,65437.05162960337
278,1773169,2018-04-09,23314.3762452451
279,1773169,2018-04-10,42146.144230333106
280,1773169,2018-04-11,40240.38236384693
281,1773169,2018-04-12,42124.583489695135
282,1773169,2018-04-13,71110.73858635941
283,1773169,2018-04-16,68250.7830707394
284,1773169,2018-04-17,12227.033700590477
285,1773169,2018-04-18,77231.13628953147
286,1773169,2018-04-19,44180.13269755522
287,1773169,2018-04-20,88446.70242327852
288,1773169,2018-04-23,11029.681230840613
289,1773169,2018-04-24,7149.750833048129
290,1773169,2018-04-25,6304.329509036842
291,1773169,2018-04-26,8078.7921643076925
292,1773169,2018-04-27,12377.408635333335
293,1773169,2018-04-30,22575.21433722129
294,1773169,2018-05-01,3313.256536
295,1773169,2018-05-02,28114.655665871665
296,1773169,2018-05-03,1108.5129373333334
297,1773169,2018-05-08,14431.442037317069
298,1773169,2018-05-09,4800.653858039216
299,1773169,2018-05-10,3052.9444679999997
300,1773169,2018-05-11,20106.922302775252
301,1773169,2018-05-14,13785.679225238095
302,1773169,2018-05-15,11583.218508
303,1773169,2018-05-16,29603.64001549529
304,1773169,2018-05-17,28023.693462444448
305,1773169,2018-05-18,33223.28427073763
306,1773169,2018-05-21,79432.5358867174
307,1773169,2018-05-22,19214.324720560737
308,1773169,2018-05-23,45294.6852114934
309,1773169,2018-05-24,9535.289805002985
310,1773169,2018-05-25,66947.08460962576
311,1773169,2018-05-28,143947.19590767776
312,1773169,2018-05-29,103720.83944178019
313,1773169,2018-05-30,85492.50964752042
314,1773169,2018-05-31,31706.584273470085
315,1773169,2018-06-01,35028.167547347824
316,1773169,2018-06-04,15291.183257333334
317,1773169,2018-06-05,33327.846233159726
318,1773169,2018-06-06,49950.55811447961
319,1773169,2018-06-07,34576.71530791727
320,1773169,2018-06-08,103011.08089461854
321,1773169,2018-06-11,44370.085166229685
322,1773169,2018-06-12,47910.72787607888
323,1773169,2018-06-13,112178.88649367914
324,1773169,2018-06-14,31452.6561081257
325,1773169,2018-06-15,48993.76656353818
326,1773169,2018-06-18,102872.44190082897
327,1773169,2018-06-19,134802.18151429974
328,1773169,2018-06-20,44774.21588933334
329,1773169,2018-06-21,24623.34466633917
330,1773169,2018-06-22,17924.712629359852
331,1773169,2018-06-25,33153.918017086515
332,1773169,2018-06-26,33076.773072478434
333,1773169,2018-06-27,46107.604622349325
334,1773169,2018-06-28,54567.95457401282
335,1773169,2018-06-29,21950.37131039144
336,1773169,2018-07-02,28299.676655151496
337,1773169,2018-07-03,80632.9246595111
338,1773169,2018-07-04,58213.893840388424
339,1773169,2018-07-05,52129.59422308074
340,1773169,2018-07-06,105376.09108207408
341,1773169,2018-07-09,56833.038377217155
342,1773169,2018-07-10,37183.92139982748
343,1773169,2018-07-11,45201.349195441646
344,1773169,2018-07-12,35732.65986294127
345,1773169,2018-07-13,52661.56967201676
346,1773169,2018-07-16,47826.6623765721
347,1773169,2018-07-17,53534.074379109385
348,1773169,2018-07-18,19234.671238279636
349,1773169,2018-07-19,27010.08329314178
350,1773169,2018-07-20,101435.67406227623
351,1773169,2018-07-23,48847.85455885714
352,1773169,2018-07-25,89241.22700981807
353,1773169,2018-07-26,42758.56811629132
354,1773169,2018-07-27,22310.625384765433
355,1773169,2018-07-30,77388.73690837865
356,1773169,2018-07-31,62890.363183333335
357,1773169,2018-08-01,190281.60342904177
358,1773169,2018-08-02,59550.8047357103
359,1773169,2018-08-06,67101.967969772
360,1773169,2018-08-07,38641.49332966374
361,1773169,2018-08-08,57234.39186094926
362,1773169,2018-08-09,5851.385165333333
363,1773169,2018-08-10,62280.406118332285
364,1773169,2018-08-13,90560.31680031611
365,1773169,2018-08-14,51525.45093450931
366,1773169,2018-08-15,18284.052074950516
